Plant,Root,Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Common Name,Vegetable,Fruit,Medicinal Plant,Commercial Crop,Ornamental Plant,Fodder Crop
Abelmoschus moschatus subsp. tuberosus,Fibrous,tuberous,"Perennial herb, erect, up to 1.2m   ","Palmate, lobed, 5-12cm wide, hairy           ",Yellow flowers; tuberous roots with seeds,Drought-tolerant; heat-tolerant,Tuber storage for drought survival, ambrette,0,0,0,1,1,0
Amorphophallus bulbifer,Tuberous,deep,"Perennial herb, erect, up to 1m     ","Large, compound, pinnatifid, 30-60cm wide    ",Spadix with berries; bulbils for propagation,Shade-tolerant; humid tropics,Bulbils for vegetative spread; corm storage,voodoo lily,0,0,0,0,1,0
Amorphophallus commutatus,Tuberous,deep,"Perennial herb, erect, up to 1m     ","Large, pinnate, 20-50cm wide, glossy         ",Spadix with berries; corm propagation,Shade-tolerant; wet forests,Corm stores nutrients; rapid regrowth,Amorphophallus commutatus,1,0,1,0,0,0
Amorphophallus oncophyllus,Tuberous,deep,"Perennial herb, erect, up to 1.5m   ","Large, pinnatifid, 30-70cm wide, glossy      ",Spadix with berries; corm propagation,Shade-tolerant; humid conditions,Large leaves for light capture,Porang,1,0,1,0,0,0
Amorphophallus paeoniifolius,Tuberous,deep,"Perennial herb, erect, up to 1.5m   ","Large, compound, 40-80cm wide, glossy        ",Spadix with berries; corm propagation,Shade-tolerant; tropical climates,Edible corm; rapid leaf development,Amorphophallus paeoniifolius,1,0,0,0,0,0
Cinnamomum malabathrum,Fibrous,shallow,"Small tree, up to 10m, spreading    ","Ovate-lanceolate, 5-15cm long, aromatic      ",Small white flowers; berries; bird-dispersed,Shade-tolerant; humid forests,Aromatic leaves/bark for spice; pest resistance,Therali,0,0,1,1,0,0
Cinnamomum verum,Fibrous,shallow,"Small tree, up to 10m, erect        ","Ovate-lanceolate, 5-15cm long, aromatic      ",Small white flowers; berries; bird-dispersed,Moderate drought; tropical,Cinnamaldehyde in bark for antimicrobial,Dalchini,0,0,1,0,0,0
Cucumis madraspatana,Taproot,shallow,"Annual creeper, up to 3m, tendrils  ","Palmate, 5-10cm wide, hairy, lobed           ",Yellow flowers; pepo fruits with seeds,Drought-tolerant; sandy soils,Rapid growth; weed suppression,Madras pea pumpkin,0,0,1,0,0,0
Cucumis sativus var. hardwickii,Taproot,shallow,"Annual creeper, up to 2m, tendrils ","Palmate, 5-8cm wide, hairy, lobed            ",Yellow flowers; small fruits with seeds,Drought-tolerant; heat-tolerant,Wild progenitor; parthenocarpic potential,Wild cucumber,1,0,0,0,0,0
Cucumis silentvallei,Taproot,shallow,"Annual creeper, up to 2m, tendrils ","Palmate, 5-10cm wide, hairy, lobed           ",Yellow flowers; pepo fruits with seeds,Drought-tolerant; endemic to Kerala,Unique adaptation to local conditions,Cucumis silentvallei,0,1,1,0,0,0
Curcuma aurantiaca,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m, leafy     ","Ovate-lanceolate, 15-30cm long, aromatic     ",Cone-like spikes; seeds rare; rhizome propagation,Shade-tolerant; humid tropics,Ornamental; curcumin content,Curcuma aurantiaca,0,0,1,0,1,0
Dioscorea belophylla,Tuberous,deep,"Perennial climber, up to 10m        ","Cordate, 10-20cm long, alternate            ",Small flowers; tubers with bulbils; seeds rare,Shade-tolerant; tropical forests,Tuber storage; climbing for light,Dioscorea belophylla,0,0,1,0,0,0
Dioscorea floribunda,Tuberous,deep,"Perennial climber, up to 10m        ","Cordate, 10-25cm long, alternate            ",Small flowers; tubers; seeds rare,Shade-tolerant; humid conditions,Diosgenin production; medicinal use,Dioscorea floribunda,0,0,1,0,0,0
Dioscorea hamiltonii,Tuberous,deep,"Perennial climber, up to 8m         ","Cordate, 10-20cm long, alternate            ",Small flowers; tubers; seeds rare,Shade-tolerant; tropical forests,Tuber storage; rapid regrowth,Dioscorea hamiltonii,0,0,1,0,0,0
Dioscorea hispida,Tuberous,deep,"Perennial climber, up to 10m        ","Cordate, 10-25cm long, alternate            ",Small flowers; tubers with bulbils; seeds rare,Drought-tolerant; heat-tolerant,Toxic alkaloids for defense; edible after processing,Dioscorea hispida,0,0,1,0,0,0
Dioscorea intermedia,Tuberous,deep,"Perennial climber, up to 8m         ","Cordate, 10-20cm long, alternate            ",Small flowers; tubers; seeds rare,Shade-tolerant; humid tropics,Tuber storage; climbing habit,Dioscorea intermedia,0,0,1,0,0,0
Dioscorea oppositifolia,Tuberous,deep,"Perennial climber, up to 10m        ","Cordate, 10-25cm long, opposite             ",Small flowers; tubers; seeds rare,Shade-tolerant; tropical forests,Opposite leaves for light capture,Dioscorea oppositifolia,0,0,1,0,0,0
Dioscorea pentaphylla,Tuberous,deep,"Perennial climber, up to 8m         ","Cordate, 10-20cm long, alternate            ",Small flowers; tubers; seeds rare,Shade-tolerant; humid conditions,Five leaflets for photosynthesis,Dioscorea pentaphylla,0,0,1,0,0,0
Dioscorea pubera,Tuberous,deep,"Perennial climber, up to 10m        ","Cordate, 10-25cm long, pubescent            ",Small flowers; tubers; seeds rare,Shade-tolerant; tropical forests,Pubescence for water retention,Dioscorea pubera,0,0,1,0,0,0
Dioscorea spicata,Tuberous,deep,"Perennial climber, up to 8m         ","Cordate, 10-20cm long, alternate            ",Small flowers; tubers; seeds rare,Shade-tolerant; humid tropics,Spiked tubers for storage,Dioscorea spicata,0,0,1,0,0,0
Dioscorea tomentosa,Tuberous,deep,"Perennial climber, up to 10m        ","Cordate, 10-25cm long, tomentose            ",Small flowers; tubers; seeds rare,Shade-tolerant; tropical forests,Tomentose leaves for heat reflection,Dioscorea tomentosa,0,0,1,0,0,0
Dioscorea wallichii,Tuberous,deep,"Perennial climber, up to 8m         ","Cordate, 10-20cm long, alternate            ",Small flowers; tubers; seeds rare,Shade-tolerant; humid conditions,Tuber storage; rapid climbing,Dioscorea wallichii,0,0,1,0,0,0
Garcinia hombroniana,Taproot,deep,"Small tree, up to 15m, spreading    ","Elliptic, 10-20cm long, glossy              ",Small flowers; berries; bird-dispersed,Shade-tolerant; humid tropics,Edible fruit; resin for pest resistance,Garcinia hombroniana,0,1,1,0,0,0
Momordica charantia var. muricata,Taproot,shallow,"Annual/perennial vine, up to 5m     ","Palmate, 5-10cm wide, lobed, hairy          ",Yellow flowers; bitter fruits with seeds,Drought-tolerant; heat-tolerant,Bitter compounds deter herbivores,Momordica charantia var. muricata,1,1,1,0,0,0
Momordica dioica,Taproot,shallow,"Perennial dioecious vine, up to 4m  ","Palmate, 5-8cm wide, lobed, hairy           ",Male/female flowers; small fruits with seeds,Drought-tolerant; tropical climates,Dioecious for genetic diversity,Momordica dioica,1,1,1,0,0,0
Momordica sahyadrica,Taproot,shallow,"Perennial vine, up to 4m            ","Palmate, 5-10cm wide, lobed, hairy          ",Yellow flowers; fruits with seeds,Drought-tolerant; endemic to Western Ghats,Local adaptation; bitter fruit,Momordica sahyadrica,1,1,1,0,0,0
Moringa concanensis,Taproot,deep,"Small tree, up to 10m, slender      ","Tripinnate, 20-40cm long, small leaflets    ",White flowers; pods with winged seeds,Drought-tolerant; heat-tolerant,Edible pods/leaves; rapid growth,Moringa concanensis,0,0,1,0,0,0
Oryza meyeriana ssp. granulata,Fibrous,shallow,"Annual/perennial grass, up to 1.5m  ","Linear-lanceolate, 20-50cm long             ",Panicle with spikelets; seeds,Flood-tolerant; tropical wetlands,Wild rice adaptation; aerenchyma,Oryza meyeriana ssp. granulata,0,0,0,0,0,0
Oryza officinalis ssp. officinalis,Fibrous,shallow,"Perennial grass, up to 1.5m         ","Linear-lanceolate, 20-60cm long             ",Panicle with spikelets; seeds,Flood-tolerant; humid tropics,Disease resistance; wild progenitor,Oryza officinalis ssp. officinalis,0,0,0,0,0,0
Oryza rufipogon,Fibrous,shallow,"Perennial grass, up to 1.5m         ","Linear-lanceolate, 20-60cm long             ",Panicle with spikelets; seeds,Flood-tolerant; tropical wetlands,Wild rice; seed dormancy,Oryza rufipogon,0,0,0,0,0,0
Oryza sativa f. spontanea,Fibrous,shallow,"Annual grass, up to 1.5m            ","Linear-lanceolate, 20-50cm long             ",Panicle with spikelets; seeds,Flood-tolerant; tropical climates,Wild rice hybrid; rapid spread,Oryza sativa f. spontanea,0,0,0,1,0,0
Piper arboreum,Fibrous,shallow,"Woody climber, up to 6m             ","Ovate, 5-12cm long, glossy, aromatic        ",Spikes of flowers; drupes,Shade-tolerant; humid tropics,Aromatic compounds; climbing support,Piper arboreum,0,0,1,0,1,0
Piper argyrophyllum,Fibrous,shallow,"Woody climber, up to 5m             ","Ovate, 5-10cm long, silvery underside       ",Spikes of flowers; drupes,Shade-tolerant; humid forests,Silvery leaves for light reflection,Piper argyrophyllum,0,0,1,0,1,0
Piper betle (wild & culti),Fibrous,shallow,"Woody climber, up to 6m             ","Ovate, 5-15cm long, glossy, aromatic        ",Spikes of flowers; drupes,Shade-tolerant; tropical climates,Aromatic leaves for chewing; pest resistance,Piper betle (wild & culti),0,0,1,1,1,0
Piper chaba,Fibrous,shallow,"Woody climber, up to 6m             ","Ovate, 5-12cm long, glossy, aromatic        ",Spikes of flowers; drupes,Shade-tolerant; humid tropics,Medicinal properties; rapid growth,Piper chaba,0,0,1,0,0,0
Piper galeatum,Fibrous,shallow,"Woody climber, up to 5m             ","Ovate, 5-10cm long, glossy, helmet-shaped   ",Spikes of flowers; drupes,Shade-tolerant; humid forests,Unique flower structure; local adaptation,Piper galeatum,0,0,1,0,0,0
Piper hymenophyllum,Fibrous,shallow,"Woody climber, up to 5m             ","Ovate, 5-10cm long, membranous              ",Spikes of flowers; drupes,Shade-tolerant; humid tropics,Thin leaves for light penetration,Piper hymenophyllum,0,0,1,0,1,0
Piper longum,Fibrous,shallow,"Woody climber, up to 6m             ","Ovate, 5-12cm long, glossy, aromatic        ",Spikes of flowers; drupes,Shade-tolerant; tropical climates,Long pepper fruit; medicinal use,Piper longum,0,1,1,1,0,0
Piper trichostachyon,Fibrous,shallow,"Woody climber, up to 5m             ","Ovate, 5-10cm long, glossy, aromatic        ",Spikes of flowers; drupes,Shade-tolerant; humid forests,Hairy spikes for seed protection,Piper trichostachyon,0,0,1,0,0,0
Sesamum malabaricum,Taproot,shallow,"Annual herb, erect, up to 1m        ","Ovate-lanceolate, 5-10cm long, opposite     ",Tubular flowers; capsules with seeds,Drought-tolerant; heat-tolerant,Wild sesame; seed oil production,Sesamum malabaricum,0,0,0,0,0,0
Sesamum mulayanum,Taproot,shallow,"Annual herb, erect, up to 1m        ","Ovate-lanceolate, 5-10cm long, opposite     ",Tubular flowers; capsules with seeds,Drought-tolerant; endemic to Kerala,Local adaptation; seed yield,Sesamum mulayanum,0,0,0,0,0,0
Sesamum radiatum,Taproot,shallow,"Annual herb, erect, up to 1m        ","Ovate-lanceolate, 5-10cm long, opposite     ",Tubular flowers; capsules with seeds,Drought-tolerant; heat-tolerant,Radiate seed arrangement; pest resistance,Sesamum radiatum,0,0,0,1,0,0
Solanum aculeatissimum,Fibrous,shallow,"Perennial shrub, up to 1.5m, spiny  ","Ovate, 5-15cm long, lobed, prickly          ",Purple flowers; berries with seeds,Drought-tolerant; heat-tolerant,Spines deter herbivores; toxic alkaloids,Solanum aculeatissimum,0,1,1,0,1,0
Solanum anguivi,Fibrous,shallow,"Perennial shrub, up to 1.2m, spiny  ","Ovate, 5-12cm long, lobed, hairy            ",Purple flowers; berries with seeds,Drought-tolerant; tropical climates,Wild eggplant; disease resistance,Solanum anguivi,0,1,1,0,0,0
Solanum incanum,Fibrous,shallow,"Perennial shrub, up to 1m, spiny    ","Ovate, 5-10cm long, lobed, hairy            ",Purple flowers; berries with seeds,Drought-tolerant; heat-tolerant,Thorny stems; medicinal properties,Solanum incanum,0,1,1,0,0,0
Solanum insanum,Fibrous,shallow,"Perennial shrub, up to 1.2m         ","Ovate, 5-12cm long, lobed, hairy            ",Purple flowers; berries with seeds,Drought-tolerant; tropical climates,Wild progenitor of eggplant,Solanum insanum,0,1,1,0,0,0
Solanum nigrum,Fibrous,shallow,"Annual/perennial herb, up to 1m     ","Ovate, 2-8cm long, lobed, glossy            ",White flowers; berries with seeds,Drought-tolerant; wide pH range,Edible berries (cooked); alkaloid defense,Solanum nigrum,0,1,1,0,0,0
Solanum surattense,Fibrous,shallow,"Perennial shrub, up to 1.2m, spiny  ","Ovate, 5-10cm long, lobed, hairy            ",Purple flowers; berries with seeds,Drought-tolerant; heat-tolerant,Spiny stems; medicinal use,Solanum surattense,0,1,1,0,0,0
Solanum torvum,Fibrous,shallow,"Perennial shrub, up to 2m, spiny    ","Ovate, 5-15cm long, lobed, prickly          ",White flowers; berries with seeds,Drought-tolerant; tropical climates,Thorny branches; rootstock for grafting,Solanum torvum,0,1,1,0,0,0
Solanum viarum,Fibrous,shallow,"Perennial shrub, up to 1.5m, spiny  ","Ovate, 5-12cm long, lobed, prickly          ",Purple flowers; berries with seeds,Drought-tolerant; heat-tolerant,Spines deter grazing; invasive potential,Solanum viarum,0,1,1,0,0,0
Trichosanthes cucumerina,Taproot,shallow,"Annual/perennial vine, up to 4m     ","Palmate, 5-10cm wide, lobed, hairy          ",White flowers; elongated fruits with seeds,Drought-tolerant; tropical climates,Rapid climbing; edible young fruit,Trichosanthes cucumerina,1,1,1,1,1,0
Trichosanthes nervifolia,Taproot,shallow,"Perennial vine, up to 4m            ","Palmate, 5-10cm wide, lobed, hairy          ",White flowers; fruits with seeds,Drought-tolerant; humid tropics,Nervy leaves for water retention,Trichosanthes nervifolia,1,1,1,0,1,0
Vigna adenanthus,Taproot,fibrous,"Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Symbiotic nitrogen fixation,Vigna adenanthus,1,0,0,0,0,0
Vigna bourneae,Taproot,fibrous,"Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds,Drought-tolerant; endemic to India,Local adaptation; seed dormancy,Vigna bourneae,1,0,0,0,0,0
Vigna dalzelliana,Taproot,fibrous,"Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds,Drought-tolerant; heat-tolerant,Wild relative; pest resistance,Vigna dalzelliana,1,0,0,0,0,0
Vigna minima,Taproot,fibrous,"Annual/perennial climber, up to 1.5m","Trifoliate, 5-8cm long, ovate               ",Yellow flowers; pods with seeds,Drought-tolerant; tropical climates,Small size for dense planting,Vigna minima,1,0,0,0,0,0
Vigna pilosa,Taproot,fibrous,"Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate, hairy       ",Yellow flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Hairy pods for seed protection,Vigna pilosa,1,0,0,0,0,0
Vigna radiata var. sublobata,Taproot,fibrous,"Annual climber, up to 1.5m          ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds,Drought-tolerant; heat-tolerant,Wild mung bean; seed dormancy,Vigna radiata var. sublobata,1,0,0,0,0,0
Vigna trilobata,Taproot,fibrous,"Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds,Drought-tolerant; tropical climates,Three-lobed leaves for light capture,Three-lobe-leaf cowpea,1,0,0,0,0,0
Vigna trinervia,Taproot,fibrous,"Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Three-veined leaves for water transport,Cowpea / Lobia,1,0,0,0,0,0
Vigna vexillata,Taproot,fibrous,"Perennial climber, up to 2.5m       ","Trifoliate, 5-12cm long, ovate              ",Purple flowers; pods with seeds,Drought-tolerant; heat-tolerant,Tuberous roots for storage,Wild Cowpea,1,0,0,0,0,0
Vigna wightii,Taproot,fibrous,"Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds,Drought-tolerant; endemic to India,Local adaptation; seed yield,Kerala Zombi Pea,1,0,0,0,0,0
Zingiber cassumunar,Rhizomatous,Rhizomatous,"Perennial herb, up to 1.2m, leafy   ","Lanceolate, 15-30cm long, aromatic          ",Cone-like spikes; seeds rare; rhizome propagation,Shade-tolerant; humid tropics,Medicinal rhizome; rapid growth,Cassumunar Ginger / Plai,0,0,1,1,1,0
Zingiber rubens,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m, leafy     ","Lanceolate, 15-25cm long, aromatic          ",Cone-like spikes; seeds rare; rhizome propagation,Shade-tolerant; humid conditions,Red rhizome for ornamental use,Red Ginger,0,0,1,0,1,0
Zingiber zerumbet,Rhizomatous,Rhizomatous,"Perennial herb, up to 1.2m, leafy   ","Lanceolate, 15-30cm long, aromatic          ",Cone-like spikes; seeds rare; rhizome propagation,Shade-tolerant; humid tropics,Shampoo ginger; aromatic rhizome,Shampoo Ginger,0,0,1,0,1,0
Calopogonium mucunoides,Fibrous,shallow,"Vigorous annual or short-lived perennial, trailing/creeping/twining, several meters long, forms dense tangled mass 30-50 cm deep; stems succulent, hairy ","Alternate, stipulate, trifoliate with broadly elliptical, pubescent leaflets; lateral leaflets asymmetric ","Blooms and fruits seasonally (e.g., Aug-Dec in India); propagated by seed; pods containing seeds ","Tolerant of stagnant water; prefers humid tropics, clay soils pH 4.5-5, high Al; not salinity tolerant; rainfall >1250 mm, temp 18-36°C; short dry periods ok but not drought tolerant ",Nitrogen-fixing; aggressive growth with allelopathy; used as cover crop/green manure; can become weed in humid tropics,Calopo,0,0,0,0,0,1
Centrosema pubescens,Fibrous,shallow,"Perennial herb, stems grow/branch rapidly, dense mass; non-woody until 18 months; height up to 45 cm ","Trifoliate, elliptical leaflets 4x3.5 cm; dark-green glabrous above, whitish tomentose below ",Pale violet flowers in racemes; pods 7.5-15 cm with up to 20 spherical 4 mm dark brown seeds; short-day; seed propagation with scarification,"Highly drought tolerant (deep roots); endures waterlogging/flooding/shade; adaptable to poor/nutrient-rich soils, acid/high Al ok; not cold tolerant ","Nitrogen fixation up to 46 kg/ha; weed suppression via dense cover; adaptable to sandy-clay soils pH 4.9-5.5, high Mn; yields 80% under shade ",Centrosema,0,0,0,0,1,1
Mucuna bracteata,Fibrous,shallow,"Creeping, rapid growth; height 30-50 cm off ground ",Green foliage with leguminous nodules producing fixed N,"Seeds 90-190 mg, black, durable but insect-susceptible pre-germination ",Temp 20-35°C (avg 28°C); high humidity/consistent rainfall; resists most insects/cattle via phenolic acids,"Nitrogen regulation/fixation; cover crop in plantations (rubber/oil palm/citrus/coconut); shields soil, prevents erosion, enhances aeration/water retention; growth 10-15 cm/day ",Velvet Bean,0,0,0,0,0,1
Pueraria phaseoloides,Fibrous,shallow,"Perennial twining herb, stems up to 30 cm/day, elongate to 20 m; forms tangled mats >0.5 m deep ","Large trifoliate; leaflets oval/triangular, 2x2 to 20x15 cm ",Vegetative (vines root at soil) or generative (epigeal germination); mauve-purple flowers in racemes; pods 4-11 cm hairy with 10-20 squarish 3x2 mm black/brown seeds,"Short dry periods ok but not drought tolerant; pH 4.3-8, acid ok; reduced shade tolerance; temp 22.1-27.4°C, colder reduces growth ","Deep roots improve soil structure/prevent erosion; high N accumulation via symbiotic fixation, responsive to P; can become invasive due to fast growth/seed distribution ",Tropical Kudzu,0,0,1,1,0,1
Paspalum scrobiculatum,Fibrous,shallow,"Annual grass, erect up to 1m, tillering culms ","Linear, flat to folded, 15-50cm long, 3-10mm wide, glabrous ",Spike-like racemes in panicles; self-pollinating; small caryopses,Drought-tolerant; saline-tolerant; poor soils; heat-tolerant; 20-40°C,C4 photosynthesis; weedy growth; iron-efficient; gluten-free grain,Kodo Millet,0,0,0,0,0,1
Panicum sumatrense,Fibrous,shallow,"Annual bunch grass, erect up to 1m, slender culms ","Linear-lanceolate, 10-30cm long, 2-5mm wide, glabrous or hairy ",Spike-like racemes; self-pollinating; small seeds,Drought-tolerant; heat-tolerant; poor nutrient soils; 25-35°C,Rapid maturation (60-90 days); tillering for yield; low glycemic index,Little Millet,0,0,0,1,0,1
Zea mays,Fibrous,extensive,"Annual monoecious grass, tall up to 4m, solid culms ","Broad linear, alternate, 50-100cm long, 5-10cm wide, sword-shaped ",Monoecious tassel (male) and ear (female); wind-pollinated; kernels on cob,Moderate drought; heat-tolerant; frost-sensitive; wide pH; high input needs,"C4 photosynthesis; hybrid vigor; versatile uses (grain, silage); deep roots in varieties ",Maize / Corn,0,0,0,1,0,1
Pennisetum glaucum,Fibrous,deep,"Annual tall grass, erect up to 3m, robust culms ","Linear, flat to folded, 30-100cm long, 1-4cm wide, waxy bloom ",Cylindrical spike with bristles; self-pollinating; small caryopses,Extreme drought-tolerant; heat-tolerant (up to 45°C); saline/alkaline soils; low fertility,C4 pathway; CAM-like in stress; pearl-like grains; fodder dual-purpose,Pearl Millet / Bajra,0,0,0,1,0,1
Panicum miliaceum,Fibrous,shallow,"Annual grass, erect up to 1.5m, branched culms ","Linear, 20-50cm long, 5-15mm wide, glabrous ",Dense cylindrical panicles; self-pollinating; small seeds,Drought-tolerant; heat-tolerant; cold-tolerant; poor soils; 15-35°C,Fast-growing (60-100 days); bird-resistant; high lysine content; multi-harvest,Proso Millet / Cheena,0,0,0,1,0,1
Oryza sativa,Fibrous,shallow,"Annual semi-aquatic grass, erect up to 1.75m, hollow culms ","Linear-lanceolate, alternate, sheathing, 20-100cm long, 5-20mm wide ",Panicle with spikelets; self-pollinating; short-day varieties; caryopses,Flood-tolerant (aerenchyma); moderate drought (upland); 20-35°C; acidic to neutral soils,C3 photosynthesis; tillering; photoperiod sensitivity; indica/japonica types,Rice / Chawal,0,0,0,1,0,0
Sorghum bicolor,Fibrous,deep,"Annual tall grass, erect up to 4m, solid culms ","Linear, 30-120cm long, 2-5cm wide, waxy, rolled in dry conditions ",Panicle compact/diffuse; self-pollinating; grains in glumes,Drought-tolerant; heat-tolerant (up to 40°C); saline-tolerant; low fertility,C4 photosynthesis; stay-green trait; cyanogenic glucosides defense; biofuel potential,Sorghum / Jowar,0,0,0,1,0,1
Triticum dicoccum,Fibrous,extensive,"Annual grass, erect up to 1.5m, hollow culms ","Linear, flat, 20-40cm long, 5-15mm wide, auricles ",Spike compact; self-pollinating; hulled grains,Cold-tolerant; moderate drought; fertile loamy soils; 10-30°C,Hulled emmer wheat; high protein/gluten; rust-resistant; ancient diploid tetraploid hybrid,Emmer Wheat,0,0,0,1,0,0
Salvia hispanica,Fibrous,Fibrous,"Annual herb, erect up to 1.75m ","Opposite, 4–8 cm long, 3–5 cm wide, aromatic with essential oils ",Purple/white flowers in spikes; short-day; hydrophilic seeds,Moderate drought; well-drained soils; zones 9-12; frost-sensitive,Mucilaginous seed coating for water retention; insect-repellent oils,Chia,0,0,1,1,1,0
Amaranthus caudatus,Taproot,Taproot,"Herbaceous annual, erect up to 2.5m ",Broad-leaved,Long panicles up to 90cm; self-pollinating; small seeds,Drought-tolerant; full sun; altitudes up to 3100m; pH 6-7,C4 photosynthesis; short-day; high altitude adaptation,Love-lies-bleeding / Rajgira,1,0,1,1,1,0
Amaranthus hypochondriacus,Taproot,Taproot,"Vigorous upright annual, 40–200 cm tall ","Simple, alternate, rhombic-ovate to lanceolate, 4–12 cm long, 2–7 cm wide ",Dense catkin inflorescences; purplish-red/yellow-green flowers; dry fruits with seeds,Well-drained soils; full sun; zones 3-10,Susceptible to aphids; adaptable to temperate regions,Indian Spinach / Rajgira,1,0,1,1,1,0
Chenopodium quinoa,Taproot,Taproot,"Annual, 1–2 m tall, woody central stem ","Broad, powdery, hairy, lobed, alternate ",Panicles with small flowers; mostly self-fertilizing; 2mm seeds,Saline/nutrient-poor soils; drought; -4°C to 35°C; high elevations to 4000m,Bitter saponins deter herbivores; betalains for pollination; osmotic adjustment for salinity,Quinoa,1,0,1,1,1,0
Cymbopogon nardus,Fibrous,stout rootstock,"Clump-forming perennial grass, erect up to 2.5m ","Long, narrow, sharp, aromatic   ",Produces seeds; perennial,"Tropical climate, moderate drought",Essential oil with insect-repelling properties,Citronella Grass,0,0,1,1,0,0
Eucalyptus citriodora,Lignotuber,woody,"Tall tree, 25-50m, smooth bark ","Narrow lance-shaped, glossy green, lemon-scented ",Flowers white in groups; woody fruit with seeds,"Drought-tolerant, frost-tolerant, wide temperature range ",Lemon-scented essential oil for repellents,Lemon-scented Eucalyptus,0,0,1,1,1,0
Cymbopogon flexuosus,Rhizomatous,Rhizomatous,"Clump-forming perennial grass, erect up to 3m ","Long, narrow, lemon-scented     ",Produces flowers and seeds,"Prefers warm, humid; sensitive to water stress ",Essential oil for culinary and medicinal use,East-Indian Lemongrass,0,0,1,1,0,0
Cymbopogon martinii,Rhizomatous,woody,"Tufted perennial grass, erect culms up to 3m ","Long, narrow, aromatic          ",Flowers after 3 months; multiple harvests,"Drought-tolerant, heat-tolerant   ","Palmarosa oil with rose scent, antifungal, repellent ",Palmarosa,0,0,1,1,0,0
Santalum album,Parasitic,haustoria,"Small evergreen tree, 4-9m, upright to sprawling ","Thin, opposite, ovate-lanceolate, shiny green ",Flowers after 7 years; fruit bird-dispersed,"Dry forests, 0-38°C, 500-3000mm rain ",Fragrant heartwood oil; parasitic on hosts,Indian Sandalwood,0,0,1,1,1,0
Chrysopogon zizanioides,Fibrous,deep,"Perennial bunchgrass, erect up to 3m ","Long, thin, rigid up to 300cm   ","Vegetative offsets, often sterile; flowers brownish-purple ","Drought, flooding, salinity, wide pH, frost, fire ",Soil binding for erosion control; termite repellent,Vetiver ,0,0,1,1,0,1
Cananga odorata,Shallow,fibrous,"Fast-growing tree up to 12m, drooping branches ","Pinnate, glossy, oval pointed, 13-21cm ",Fragrant drooping flowers; fruit bird-dispersed,"Prefers acidic soils, full sun; sensitive to cold ",Highly fragrant ylang-ylang oil for perfume,Ylang-Ylang,0,0,1,1,1,0
Annona squamosa,Fibrous,shallow,"Shrub-like, erect    ","Broad, glossy leaves      ",Produces many seeds in fruit,Moderate drought,Fruit pulp stores nutrients,Sugar Apple ,0,1,1,1,1,0
Aporosa lindleyana,Fibrous,moderate,Small tree/shrub,"Oval, medium-sized leaves ",Produces small seeds,Shade-tolerant,Adapts to understory conditions,Lindley's aporosa,0,0,0,0,0,0
Baccaurea courtallensis,Fibrous,deep,Small tree,"Broad, leathery leaves    ",Produces small seeds,Moderate drought,Fruit protects seeds from desiccation,Mooty Fruit,0,1,0,0,0,0
Carissa carandas,Taproot,shallow,"Shrub-like, thorny   ","Small, thick leaves       ",Produces berries with seeds,Drought-tolerant,Thorns deter herbivores,Karonda,0,1,1,1,1,0
Citrus grandis,Fibrous,extensive,Small tree,"Large, glossy leaves      ",Produces many seeds in fruit,Heat-tolerant,Thick rind protects fruit,Pomelo ,0,1,1,1,1,0
Citrus limon,Fibrous,shallow,"Shrub-like, erect    ","Oval, aromatic leaves     ",Produces seeds in fruit,Moderate drought,Acidic fruit repels pests,Lemon,0,1,1,1,1,0
Citrus medica,Fibrous,shallow,Small tree,"Thick, glossy leaves      ",Produces seeds in fruit,Moderate drought,Thick rind for storage,Citron,0,1,1,1,1,0
Flacourtia inermis,Fibrous,moderate,"Shrub-like, thorny   ","Small, oval leaves        ",Produces small seeds,Drought-tolerant,Thorns provide defense,Batoko Plum,0,1,1,0,0,0
Pouteria campechiana,Taproot,deep,Small tree,"Large, glossy leaves      ",Produces seeds in fruit,Moderate drought,Fruit stores energy,Canistel,0,1,0,1,1,0
Psidium guajava,Fibrous,shallow,"Shrub-like, spreading","Oval, aromatic leaves     ",Produces many seeds in fruit,Heat-tolerant,Fruit pulp resists rot,Guava,0,1,1,1,1,0
Spondias pinnata,Taproot,deep,Small tree,"Compound, broad leaves    ",Produces seeds in fruit,Drought-tolerant,Deep roots access water,Indian Hog Plum ,0,1,1,1,0,1
