Plant,Root Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Vegetable
Oryza sativa f. spontanea    ,"Fibrous, shallow       ","Annual grass, up to 1.5m            ","Linear-lanceolate, 20-50cm long             ",Panicle with spikelets; seeds                   ,Flood-tolerant; tropical climates             ,Wild rice hybrid; rapid spread                 ,
Piper arboreum               ,"Fibrous, shallow       ","Woody climber, up to 6m             ","Ovate, 5-12cm long, glossy, aromatic        ",Spikes of flowers; drupes                       ,Shade-tolerant; humid tropics                 ,Aromatic compounds; climbing support           ,
Piper argyrophyllum          ,"Fibrous, shallow       ","Woody climber, up to 5m             ","Ovate, 5-10cm long, silvery underside       ",Spikes of flowers; drupes                       ,Shade-tolerant; humid forests                 ,Silvery leaves for light reflection            ,
Piper betle (wild & culti)   ,"Fibrous, shallow       ","Woody climber, up to 6m             ","Ovate, 5-15cm long, glossy, aromatic        ",Spikes of flowers; drupes                       ,Shade-tolerant; tropical climates             ,Aromatic leaves for chewing; pest resistance   ,
Piper chaba                  ,"Fibrous, shallow       ","Woody climber, up to 6m             ","Ovate, 5-12cm long, glossy, aromatic        ",Spikes of flowers; drupes                       ,Shade-tolerant; humid tropics                 ,Medicinal properties; rapid growth             ,
Piper galeatum               ,"Fibrous, shallow       ","Woody climber, up to 5m             ","Ovate, 5-10cm long, glossy, helmet-shaped   ",Spikes of flowers; drupes                       ,Shade-tolerant; humid forests                 ,Unique flower structure; local adaptation      ,
Piper hymenophyllum          ,"Fibrous, shallow       ","Woody climber, up to 5m             ","Ovate, 5-10cm long, membranous              ",Spikes of flowers; drupes                       ,Shade-tolerant; humid tropics                 ,Thin leaves for light penetration              ,
Piper longum                 ,"Fibrous, shallow       ","Woody climber, up to 6m             ","Ovate, 5-12cm long, glossy, aromatic        ",Spikes of flowers; drupes                       ,Shade-tolerant; tropical climates             ,Long pepper fruit; medicinal use               ,
Piper trichostachyon         ,"Fibrous, shallow       ","Woody climber, up to 5m             ","Ovate, 5-10cm long, glossy, aromatic        ",Spikes of flowers; drupes                       ,Shade-tolerant; humid forests                 ,Hairy spikes for seed protection               ,
Sesamum malabaricum          ,"Taproot, shallow       ","Annual herb, erect, up to 1m        ","Ovate-lanceolate, 5-10cm long, opposite     ",Tubular flowers; capsules with seeds            ,Drought-tolerant; heat-tolerant               ,Wild sesame; seed oil production               ,
Sesamum mulayanum            ,"Taproot, shallow       ","Annual herb, erect, up to 1m        ","Ovate-lanceolate, 5-10cm long, opposite     ",Tubular flowers; capsules with seeds            ,Drought-tolerant; endemic to Kerala           ,Local adaptation; seed yield                   ,
Sesamum radiatum             ,"Taproot, shallow       ","Annual herb, erect, up to 1m        ","Ovate-lanceolate, 5-10cm long, opposite     ",Tubular flowers; capsules with seeds            ,Drought-tolerant; heat-tolerant               ,Radiate seed arrangement; pest resistance      ,
Solanum aculeatissimum       ,"Fibrous, shallow       ","Perennial shrub, up to 1.5m, spiny  ","Ovate, 5-15cm long, lobed, prickly          ",Purple flowers; berries with seeds              ,Drought-tolerant; heat-tolerant               ,Spines deter herbivores; toxic alkaloids       ,
Solanum anguivi              ,"Fibrous, shallow       ","Perennial shrub, up to 1.2m, spiny  ","Ovate, 5-12cm long, lobed, hairy            ",Purple flowers; berries with seeds              ,Drought-tolerant; tropical climates           ,Wild eggplant; disease resistance              ,
Solanum incanum              ,"Fibrous, shallow       ","Perennial shrub, up to 1m, spiny    ","Ovate, 5-10cm long, lobed, hairy            ",Purple flowers; berries with seeds              ,Drought-tolerant; heat-tolerant               ,Thorny stems; medicinal properties             ,
Solanum insanum              ,"Fibrous, shallow       ","Perennial shrub, up to 1.2m         ","Ovate, 5-12cm long, lobed, hairy            ",Purple flowers; berries with seeds              ,Drought-tolerant; tropical climates           ,Wild progenitor of eggplant                    ,
Solanum nigrum               ,"Fibrous, shallow       ","Annual/perennial herb, up to 1m     ","Ovate, 2-8cm long, lobed, glossy            ",White flowers; berries with seeds               ,Drought-tolerant; wide pH range               ,Edible berries (cooked); alkaloid defense       ,
Solanum surattense           ,"Fibrous, shallow       ","Perennial shrub, up to 1.2m, spiny  ","Ovate, 5-10cm long, lobed, hairy            ",Purple flowers; berries with seeds              ,Drought-tolerant; heat-tolerant               ,Spiny stems; medicinal use                     ,
Solanum torvum               ,"Fibrous, shallow       ","Perennial shrub, up to 2m, spiny    ","Ovate, 5-15cm long, lobed, prickly          ",White flowers; berries with seeds               ,Drought-tolerant; tropical climates           ,Thorny branches; rootstock for grafting        ,
Solanum viarum               ,"Fibrous, shallow       ","Perennial shrub, up to 1.5m, spiny  ","Ovate, 5-12cm long, lobed, prickly          ",Purple flowers; berries with seeds              ,Drought-tolerant; heat-tolerant               ,Spines deter grazing; invasive potential       ,
Trichosanthes cucumerina     ,"Taproot, shallow       ","Annual/perennial vine, up to 4m     ","Palmate, 5-10cm wide, lobed, hairy          ",White flowers; elongated fruits with seeds      ,Drought-tolerant; tropical climates           ,Rapid climbing; edible young fruit             ,
Trichosanthes nervifolia     ,"Taproot, shallow       ","Perennial vine, up to 4m            ","Palmate, 5-10cm wide, lobed, hairy          ",White flowers; fruits with seeds                ,Drought-tolerant; humid tropics               ,Nervy leaves for water retention               ,
Vigna adenanthus             ,"Taproot, fibrous       ","Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds                 ,Drought-tolerant; nitrogen-fixing             ,Symbiotic nitrogen fixation                    ,
Vigna bourneae               ,"Taproot, fibrous       ","Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds                 ,Drought-tolerant; endemic to India            ,Local adaptation; seed dormancy                ,
Vigna dalzelliana            ,"Taproot, fibrous       ","Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds                 ,Drought-tolerant; heat-tolerant               ,Wild relative; pest resistance                 ,
Vigna minima                 ,"Taproot, fibrous       ","Annual/perennial climber, up to 1.5m","Trifoliate, 5-8cm long, ovate               ",Yellow flowers; pods with seeds                 ,Drought-tolerant; tropical climates           ,Small size for dense planting                  ,
Vigna pilosa                 ,"Taproot, fibrous       ","Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate, hairy       ",Yellow flowers; pods with seeds                 ,Drought-tolerant; nitrogen-fixing             ,Hairy pods for seed protection                 ,
Vigna radiata var. sublobata ,"Taproot, fibrous       ","Annual climber, up to 1.5m          ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds                 ,Drought-tolerant; heat-tolerant               ,Wild mung bean; seed dormancy                  ,
Vigna trilobata              ,"Taproot, fibrous       ","Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds                 ,Drought-tolerant; tropical climates           ,Three-lobed leaves for light capture           ,
Vigna trinervia              ,"Taproot, fibrous       ","Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds                 ,Drought-tolerant; nitrogen-fixing             ,Three-veined leaves for water transport        ,
Vigna vexillata              ,"Taproot, fibrous       ","Perennial climber, up to 2.5m       ","Trifoliate, 5-12cm long, ovate              ",Purple flowers; pods with seeds                 ,Drought-tolerant; heat-tolerant               ,Tuberous roots for storage                     ,
Vigna wightii                ,"Taproot, fibrous       ","Annual/perennial climber, up to 2m  ","Trifoliate, 5-10cm long, ovate              ",Yellow flowers; pods with seeds                 ,Drought-tolerant; endemic to India            ,Local adaptation; seed yield                   ,
Zingiber cassumunar          ,Rhizomatous            ,"Perennial herb, up to 1.2m, leafy   ","Lanceolate, 15-30cm long, aromatic          ",Cone-like spikes; seeds rare; rhizome propagation ,Shade-tolerant; humid tropics                 ,Medicinal rhizome; rapid growth                ,
Zingiber rubens              ,Rhizomatous            ,"Perennial herb, up to 1m, leafy     ","Lanceolate, 15-25cm long, aromatic          ",Cone-like spikes; seeds rare; rhizome propagation ,Shade-tolerant; humid conditions              ,Red rhizome for ornamental use                 ,
Zingiber zerumbet            ,Rhizomatous            ,"Perennial herb, up to 1.2m, leafy   ","Lanceolate, 15-30cm long, aromatic          ",Cone-like spikes; seeds rare; rhizome propagation ,Shade-tolerant; humid tropics                 ,Shampoo ginger; aromatic rhizome               ,
Calopogonium mucunoides     ,"Dense and shallow, up to 50 cm deep ","Vigorous annual or short-lived perennial, trailing/creeping/twining, several meters long, forms dense tangled mass 30-50 cm deep; stems succulent, hairy ","Alternate, stipulate, trifoliate with broadly elliptical, pubescent leaflets; lateral leaflets asymmetric ","Blooms and fruits seasonally (e.g., Aug-Dec in India); propagated by seed; pods containing seeds ","Tolerant of stagnant water; prefers humid tropics, clay soils pH 4.5-5, high Al; not salinity tolerant; rainfall >1250 mm, temp 18-36°C; short dry periods ok but not drought tolerant ",Nitrogen-fixing; aggressive growth with allelopathy; used as cover crop/green manure; can become weed in humid tropics ,
Centrosema pubescens        ,"Shallow, up to 30 cm, with Rhizobium nodules ","Perennial herb, stems grow/branch rapidly, dense mass; non-woody until 18 months; height up to 45 cm ","Trifoliate, elliptical leaflets 4x3.5 cm; dark-green glabrous above, whitish tomentose below ",Pale violet flowers in racemes; pods 7.5-15 cm with up to 20 spherical 4 mm dark brown seeds; short-day; seed propagation with scarification ,"Highly drought tolerant (deep roots); endures waterlogging/flooding/shade; adaptable to poor/nutrient-rich soils, acid/high Al ok; not cold tolerant ","Nitrogen fixation up to 46 kg/ha; weed suppression via dense cover; adaptable to sandy-clay soils pH 4.9-5.5, high Mn; yields 80% under shade ",
Mucuna bracteata            ,Not specified         ,"Creeping, rapid growth; height 30-50 cm off ground ",Green foliage with leguminous nodules producing fixed N ,"Seeds 90-190 mg, black, durable but insect-susceptible pre-germination ",Temp 20-35°C (avg 28°C); high humidity/consistent rainfall; resists most insects/cattle via phenolic acids ,"Nitrogen regulation/fixation; cover crop in plantations (rubber/oil palm/citrus/coconut); shields soil, prevents erosion, enhances aeration/water retention; growth 10-15 cm/day ",
Pueraria phaseoloides       ,"Deep, with subtuberous structures ","Perennial twining herb, stems up to 30 cm/day, elongate to 20 m; forms tangled mats >0.5 m deep ","Large trifoliate; leaflets oval/triangular, 2x2 to 20x15 cm ",Vegetative (vines root at soil) or generative (epigeal germination); mauve-purple flowers in racemes; pods 4-11 cm hairy with 10-20 squarish 3x2 mm black/brown seeds ,"Short dry periods ok but not drought tolerant; pH 4.3-8, acid ok; reduced shade tolerance; temp 22.1-27.4°C, colder reduces growth ","Deep roots improve soil structure/prevent erosion; high N accumulation via symbiotic fixation, responsive to P; can become invasive due to fast growth/seed distribution ",
Paspalum scrobiculatum ,"Fibrous, shallow       ","Annual grass, erect up to 1m, tillering culms ","Linear, flat to folded, 15-50cm long, 3-10mm wide, glabrous ",Spike-like racemes in panicles; self-pollinating; small caryopses ,Drought-tolerant; saline-tolerant; poor soils; heat-tolerant; 20-40°C ,C4 photosynthesis; weedy growth; iron-efficient; gluten-free grain ,
Panicum sumatrense     ,"Fibrous, shallow       ","Annual bunch grass, erect up to 1m, slender culms ","Linear-lanceolate, 10-30cm long, 2-5mm wide, glabrous or hairy ",Spike-like racemes; self-pollinating; small seeds ,Drought-tolerant; heat-tolerant; poor nutrient soils; 25-35°C ,Rapid maturation (60-90 days); tillering for yield; low glycemic index ,
Zea mays               ,"Fibrous, extensive     ","Annual monoecious grass, tall up to 4m, solid culms ","Broad linear, alternate, 50-100cm long, 5-10cm wide, sword-shaped ",Monoecious tassel (male) and ear (female); wind-pollinated; kernels on cob ,Moderate drought; heat-tolerant; frost-sensitive; wide pH; high input needs ,"C4 photosynthesis; hybrid vigor; versatile uses (grain, silage); deep roots in varieties ",
Pennisetum glaucum     ,"Fibrous, deep          ","Annual tall grass, erect up to 3m, robust culms ","Linear, flat to folded, 30-100cm long, 1-4cm wide, waxy bloom ",Cylindrical spike with bristles; self-pollinating; small caryopses ,Extreme drought-tolerant; heat-tolerant (up to 45°C); saline/alkaline soils; low fertility ,C4 pathway; CAM-like in stress; pearl-like grains; fodder dual-purpose ,
Panicum miliaceum      ,"Fibrous, shallow       ","Annual grass, erect up to 1.5m, branched culms ","Linear, 20-50cm long, 5-15mm wide, glabrous ",Dense cylindrical panicles; self-pollinating; small seeds ,Drought-tolerant; heat-tolerant; cold-tolerant; poor soils; 15-35°C ,Fast-growing (60-100 days); bird-resistant; high lysine content; multi-harvest ,
Oryza sativa           ,"Fibrous, shallow       ","Annual semi-aquatic grass, erect up to 1.75m, hollow culms ","Linear-lanceolate, alternate, sheathing, 20-100cm long, 5-20mm wide ",Panicle with spikelets; self-pollinating; short-day varieties; caryopses ,Flood-tolerant (aerenchyma); moderate drought (upland); 20-35°C; acidic to neutral soils ,C3 photosynthesis; tillering; photoperiod sensitivity; indica/japonica types ,
Sorghum bicolor        ,"Fibrous, deep          ","Annual tall grass, erect up to 4m, solid culms ","Linear, 30-120cm long, 2-5cm wide, waxy, rolled in dry conditions ",Panicle compact/diffuse; self-pollinating; grains in glumes ,Drought-tolerant; heat-tolerant (up to 40°C); saline-tolerant; low fertility ,C4 photosynthesis; stay-green trait; cyanogenic glucosides defense; biofuel potential ,
Triticum dicoccum      ,"Fibrous, extensive     ","Annual grass, erect up to 1.5m, hollow culms ","Linear, flat, 20-40cm long, 5-15mm wide, auricles ",Spike compact; self-pollinating; hulled grains ,Cold-tolerant; moderate drought; fertile loamy soils; 10-30°C ,Hulled emmer wheat; high protein/gluten; rust-resistant; ancient diploid tetraploid hybrid ,
Salvia hispanica            ,Fibrous           ,"Annual herb, erect up to 1.75m ","Opposite, 4–8 cm long, 3–5 cm wide, aromatic with essential oils ",Purple/white flowers in spikes; short-day; hydrophilic seeds ,Moderate drought; well-drained soils; zones 9-12; frost-sensitive ,Mucilaginous seed coating for water retention; insect-repellent oils ,
Amaranthus caudatus         ,Taproot           ,"Herbaceous annual, erect up to 2.5m ",Broad-leaved                             ,Long panicles up to 90cm; self-pollinating; small seeds ,Drought-tolerant; full sun; altitudes up to 3100m; pH 6-7 ,C4 photosynthesis; short-day; high altitude adaptation ,
Amaranthus hypochondriacus  ,Taproot           ,"Vigorous upright annual, 40–200 cm tall ","Simple, alternate, rhombic-ovate to lanceolate, 4–12 cm long, 2–7 cm wide ",Dense catkin inflorescences; purplish-red/yellow-green flowers; dry fruits with seeds ,Well-drained soils; full sun; zones 3-10 ,Susceptible to aphids; adaptable to temperate regions ,
Chenopodium quinoa          ,Taproot           ,"Annual, 1–2 m tall, woody central stem ","Broad, powdery, hairy, lobed, alternate ",Panicles with small flowers; mostly self-fertilizing; 2mm seeds ,Saline/nutrient-poor soils; drought; -4°C to 35°C; high elevations to 4000m ,Bitter saponins deter herbivores; betalains for pollination; osmotic adjustment for salinity ,
Cymbopogon nardus     ,"Fibrous, stout rootstock ","Clump-forming perennial grass, erect up to 2.5m ","Long, narrow, sharp, aromatic   ",Produces seeds; perennial            ,"Tropical climate, moderate drought",Essential oil with insect-repelling properties ,
Eucalyptus citriodora ,"Lignotuber, woody      ","Tall tree, 25-50m, smooth bark ","Narrow lance-shaped, glossy green, lemon-scented ",Flowers white in groups; woody fruit with seeds ,"Drought-tolerant, frost-tolerant, wide temperature range ",Lemon-scented essential oil for repellents   ,
Cymbopogon flexuosus  ,Rhizomatous            ,"Clump-forming perennial grass, erect up to 3m ","Long, narrow, lemon-scented     ",Produces flowers and seeds           ,"Prefers warm, humid; sensitive to water stress ",Essential oil for culinary and medicinal use ,
Cymbopogon martinii   ,"Rhizomatous, woody     ","Tufted perennial grass, erect culms up to 3m ","Long, narrow, aromatic          ",Flowers after 3 months; multiple harvests ,"Drought-tolerant, heat-tolerant   ","Palmarosa oil with rose scent, antifungal, repellent ",
Santalum album        ,"Parasitic, with haustoria ","Small evergreen tree, 4-9m, upright to sprawling ","Thin, opposite, ovate-lanceolate, shiny green ",Flowers after 7 years; fruit bird-dispersed ,"Dry forests, 0-38°C, 500-3000mm rain ",Fragrant heartwood oil; parasitic on hosts    ,
Chrysopogon zizanioides ,"Fibrous, deep 2-4m   ","Perennial bunchgrass, erect up to 3m ","Long, thin, rigid up to 300cm   ","Vegetative offsets, often sterile; flowers brownish-purple ","Drought, flooding, salinity, wide pH, frost, fire ",Soil binding for erosion control; termite repellent ,
Cananga odorata       ,"Shallow, fibrous       ","Fast-growing tree up to 12m, drooping branches ","Pinnate, glossy, oval pointed, 13-21cm ",Fragrant drooping flowers; fruit bird-dispersed ,"Prefers acidic soils, full sun; sensitive to cold ",Highly fragrant ylang-ylang oil for perfume  ,
,"Fibrous, shallow      ","Shrub-like, erect    ","Broad, glossy leaves      ",Produces many seeds in fruit    ,Moderate drought            ,Fruit pulp stores nutrients          ,Annona squamosa 
,"Fibrous, moderate   ",Small tree/shrub     ,"Oval, medium-sized leaves ",Produces small seeds            ,Shade-tolerant              ,Adapts to understory conditions      ,Aporosa lindleyana 
,"Fibrous, deep    ",Small tree           ,"Broad, leathery leaves    ",Produces small seeds            ,Moderate drought            ,Fruit protects seeds from desiccation,Baccaurea courtallensis 
,"Taproot, shallow     ","Shrub-like, thorny   ","Small, thick leaves       ",Produces berries with seeds     ,Drought-tolerant            ,Thorns deter herbivores              ,Carissa carandas 
,"Fibrous, extensive    ",Small tree           ,"Large, glossy leaves      ",Produces many seeds in fruit    ,Heat-tolerant               ,Thick rind protects fruit            ,Citrus grandis   
,"Fibrous, shallow      ","Shrub-like, erect    ","Oval, aromatic leaves     ",Produces seeds in fruit         ,Moderate drought            ,Acidic fruit repels pests            ,Citrus limon     
,"Fibrous, shallow      ",Small tree           ,"Thick, glossy leaves      ",Produces seeds in fruit         ,Moderate drought            ,Thick rind for storage               ,Citrus medica    
,"Fibrous, moderate  ","Shrub-like, thorny   ","Small, oval leaves        ",Produces small seeds            ,Drought-tolerant            ,Thorns provide defense               ,Flacourtia inermis 
,"Taproot, deep     ",Small tree           ,"Large, glossy leaves      ",Produces seeds in fruit         ,Moderate drought            ,Fruit stores energy                  ,Pouteria campechiana 
,"Fibrous, shallow      ","Shrub-like, spreading","Oval, aromatic leaves     ",Produces many seeds in fruit    ,Heat-tolerant               ,Fruit pulp resists rot               ,Psidium guajava  
,"Taproot, deep         ",Small tree           ,"Compound, broad leaves    ",Produces seeds in fruit         ,Drought-tolerant            ,Deep roots access water              ,Spondias pinnata 
,"Fibrous, moderate     ",Small tree           ,"Glossy, lance-shaped leaves",Produces seeds in fruit         ,Moderate drought            ,Fruit attracts seed dispersers       ,Syzygium cuminii 
Annona squamosa,"Fibrous, shallow","Shrub-like, erect, up to 8m","Broad, glossy, alternate, 5-17cm long",Produces many seeds in heart-shaped fruit; flowers solitary or in clusters,Moderate drought; subtropical climates,Fruit pulp stores nutrients; chemical defenses against pests,
Aporosa lindleyana,"Fibrous, moderate depth","Small tree/shrub, up to 10m","Oval, medium-sized, simple, alternate",Produces small seeds in capsules; dioecious,Shade-tolerant; prefers humid forests,Adapts to understory conditions; latex production for defense,
Baccaurea courtallensis,"Fibrous, deep","Small tree, up to 15m","Broad, leathery, simple, alternate",Produces small seeds in berries; dioecious,Moderate drought; tropical wet forests,Fruit protects seeds from desiccation; high biodiversity adaptation,
Carissa carandas,"Taproot, shallow","Shrub-like, thorny, up to 5m","Small, thick, opposite, 2-7cm long",Produces berries with multiple seeds; flowers in cymes,Drought-tolerant; arid and semi-arid regions,Thorns deter herbivores; edible fruit attracts dispersers,
Citrus grandis,"Fibrous, extensive","Small tree, up to 15m","Large, glossy, unifoliolate, evergreen",Produces many seeds in large pomelo fruit; hermaphroditic flowers,Heat-tolerant; subtropical; sensitive to frost,Thick rind protects fruit; high vitamin C content for nutrition,
Citrus limon,"Fibrous, shallow","Shrub-like, erect, up to 6m","Oval, aromatic, evergreen, 4-8cm long","Produces seeds in fruit; hermaphroditic, self-fertile",Moderate drought; wide pH tolerance; frost-sensitive,Acidic fruit repels pests; essential oils for antimicrobial properties,
Citrus medica,"Fibrous, shallow","Small tree, up to 5m","Thick, glossy, evergreen, oblong",Produces seeds in citron fruit; hermaphroditic,Moderate drought; prefers well-drained soils,Thick rind for long storage; used in traditional medicine,
Flacourtia inermis,"Fibrous, moderate","Shrub-like, thorny, up to 6m","Small, oval, simple, alternate",Produces small seeds in plum-like fruit; dioecious,Drought-tolerant; tropical climates,Thorns provide defense; rapid growth for erosion control,
Pouteria campechiana,"Taproot, deep","Small tree, up to 20m","Large, glossy, simple, alternate",Produces seeds in egg-shaped fruit; hermaphroditic,Moderate drought; tropical lowlands,Fruit stores energy; latex used medicinally,
Psidium guajava,"Fibrous, shallow","Shrub-like, spreading, up to 10m","Oval, aromatic, opposite, 5-15cm long",Produces many seeds in guava fruit; flowers solitary,Heat-tolerant; wide soil tolerance,Fruit pulp resists rot; high antioxidant content,
Spondias pinnata,"Taproot, deep","Small tree, up to 20m","Compound, broad, pinnate, 15-30cm long",Produces seeds in hog plum fruit; polygamo-dioecious,Drought-tolerant; seasonal deciduous,Deep roots access water; acidic fruit for preservation,
Syzygium cumini,"Fibrous, moderate","Small to medium tree, up to 30m","Glossy, lance-shaped, opposite, 5-15cm long",Produces seeds in java plum fruit; hermaphroditic,Moderate drought; flood-tolerant,Fruit attracts seed dispersers; bark used medicinally,
Cymbopogon nardus,"Fibrous, stout rootstock","Clump-forming perennial grass, erect up to 2.5m","Long, narrow, sharp, aromatic, linear",Produces seeds; perennial via rhizomes,"Tropical climate, moderate drought; prefers sandy soils",Essential oil with insect-repelling properties (citronella),
Eucalyptus citriodora,"Lignotuber, woody","Tall tree, 25-50m, smooth bark peeling","Narrow lance-shaped, glossy green, lemon-scented, 10-20cm long",Flowers white in umbels; woody fruit capsules with seeds,"Drought-tolerant, frost-tolerant, wide temperature range (-5¡C to 40¡C)",Lemon-scented essential oil for repellents; fire-adapted bark,
Cymbopogon flexuosus,Rhizomatous,"Clump-forming perennial grass, erect up to 3m","Long, narrow, lemon-scented, linear, 60-100cm long",Produces flowers and seeds; propagated by division,"Prefers warm, humid; sensitive to water stress and frost",Essential oil for culinary and medicinal use (lemongrass oil),
Cymbopogon martinii,"Rhizomatous, woody base","Tufted perennial grass, erect culms up to 3m","Long, narrow, aromatic, linear",Flowers after 3 months; multiple seed harvests; self-fertile,"Drought-tolerant, heat-tolerant; poor soils","Palmarosa oil with rose scent, antifungal, insect repellent",
Santalum album,"Parasitic, with haustoria","Small evergreen tree, 4-9m, upright to sprawling","Thin, opposite, ovate-lanceolate, shiny green, 3-8cm long",Flowers after 7 years; small purple flowers; fruit bird-dispersed,"Dry forests, 0-38¡C, 500-3000mm rain; semi-parasitic",Fragrant heartwood oil (sandalwood); parasitic on host roots for nutrients,
Chrysopogon zizanioides,"Fibrous, deep (2-4m)","Perennial bunchgrass, erect up to 3m","Long, thin, rigid, up to 300cm, narrow","Vegetative offsets, often sterile; brownish-purple flower spikes","Drought, flooding, salinity, wide pH (4-8), frost, fire tolerant",Soil binding for erosion control; termite repellent (vetiver oil),
Cananga odorata,"Shallow, fibrous","Fast-growing tree up to 12m, drooping branches","Pinnate, glossy, oval pointed, 13-21cm long, 4-7 leaflets",Fragrant drooping green-yellow flowers; fruit bird-dispersed,"Prefers acidic soils (pH 5.5-7), full sun; sensitive to cold (<10¡C)",Highly fragrant ylang-ylang oil for perfume; attracts pollinators,
Salvia hispanica,Fibrous,"Annual herb, erect up to 1.75m, square stems","Opposite, ovate to triangular, 4-8cm long, 3-5cm wide, toothed, aromatic",Purple/white flowers in whorls/spikes; short-day plant; mucilaginous seeds,Moderate drought; well-drained soils; USDA zones 9-12; frost-sensitive,Mucilaginous seed coating for water retention; omega-3 rich seeds; insect-repellent oils,
Amaranthus caudatus,Taproot,"Herbaceous annual, erect up to 2.5m, branched","Broad, simple, alternate, ovate to lanceolate, 5-15cm long",Long pendulous panicles up to 90cm; self-pollinating; thousands of small seeds per plant,Drought-tolerant; full sun; altitudes up to 3100m; pH 6-7; heat-tolerant,C4 photosynthesis for efficient water use; short-day; high altitude adaptation; edible leaves/seeds,
Amaranthus hypochondriacus,Taproot,"Vigorous upright annual, 40-200cm tall, sturdy stems","Simple, alternate, rhombic-ovate to lanceolate, 4-12cm long, 2-7cm wide, wavy margins",Dense catkin-like inflorescences; purplish-red/yellow-green flowers; dry fruits with 100s of seeds,Well-drained soils; full sun; USDA zones 3-10; moderate drought,Susceptible to aphids; adaptable to temperate regions; high protein seeds; ornamental tassels,
Chenopodium quinoa,Taproot,"Annual, 1-2m tall, woody central stem, branched","Broad, powdery (farina), hairy, lobed, alternate, triangular, 4-10cm long",Panicles with small green/white flowers; mostly self-fertilizing; 2mm dark seeds,Saline/nutrient-poor soils; drought; -4¡C to 35¡C; high elevations to 4000m; alkaline tolerant,Bitter saponins deter herbivores/birds; betalains for UV protection; osmotic adjustment for salinity/drought,
Cocos nucifera,"Fibrous, shallow to deep","Tall tree, up to 50m, cylindrical trunk with smooth gray bark","Pinnate, feather-shaped, up to 6m long, glossy green, 200-300 leaflets",Monoecious; axillary inflorescences with male/female flowers; drupes with seeds (nuts),Drought-tolerant; salt-tolerant; flood-tolerant; 24-32¡C; coastal,Thick fibrous husk protects seeds; endosperm stores water/nutrients; copra oil for multiple uses,
Hevea brasiliensis,"Taproot with laterals, deep","Tall deciduous tree, up to 43m, cylindrical trunk, buttresses","Spiral compound with 3 leaflets, oval-lanceolate, shiny green, 10-20cm long",Dioecious in practice; flowers after 7 years in panicles; 3-lobed capsules with seeds,Moderate drought; frost-sensitive (<10¡C); wide pH (4.5-8); humid tropics,Latex production as defense against herbivores; rapid growth (up to 2m/year); wind-dispersed seeds,
Oryza sativa,"Fibrous, shallow","Annual herbaceous, erect up to 1.75m, hollow jointed culms","Linear-lanceolate, alternate, sheathing, 20-100cm long, 5-20mm wide",Spikelets in panicles; short-day; self-pollinating; caryopses (grains),Moderate drought (upland varieties); cold-sensitive; flooded paddies; 20-35¡C,C3 photosynthesis; aerenchyma for anaerobic conditions; semi-aquatic adaptations; high tillering,
Areca catechu,"Fibrous, shallow","Slender unbranched palm tree, up to 20m, ringed trunk","Pinnate, 1.5-2m long, reduplicate, numerous crowded leaflets",Monoecious; branched inflorescences with male/female flowers; orange-red drupes,Moderate drought; humid tropics (25-30¡C); 1500-2500mm rain; shade-tolerant,Fruit alkaloids (arecoline) for stimulation; rapid growth; used in cultural practices,
Coffea arabica,"Fibrous, moderate depth","Shrub-like evergreen tree, up to 9m (pruned to 2-3m), upright","Opposite, ovate, glossy dark green, waxy, 10-15cm long","Hermaphroditic white fragrant flowers; red cherries with 2 seeds; self-fertile, cross-pollinated",Heat-tolerant (15-24¡C optimal); moderate drought; frost-sensitive; high altitudes (600-2000m),Caffeine as chemical defense; shade-tolerant; berries protect seeds,
Piper nigrum,"Fibrous, moderate","Climbing evergreen vine, up to 6m, woody at base","Heart-shaped to oval, glossy, alternate, 5-10cm long, aromatic",Spikes of small flowers; drupes ripen to black pepper; dioecious but often hermaphroditic,Moderate drought; heat-tolerant (25-30¡C); frost-sensitive; humid shade,Piperine chemical defenses; symbiotic mycorrhizae for nutrient uptake; climbing habit for support,
Mangifera indica,"Taproot, deep (up to 6m)","Large evergreen tree, up to 30m, low broad canopy","Simple, lanceolate, leathery, aromatic, alternate, 15-35cm long",Panicles of small flowers; drupes with single large seed; insect-pollinated,Heat-tolerant; moderate drought; flood-sensitive; 24-30¡C; subtropical/tropical,Resinous bark/latex defense; deep roots for groundwater; fruit ethylene for ripening,
